username,is_bot_declared,follow_ratio,avg_time_diff_minutes,engagement_rate,night_post_ratio,lexical_diversity
Piotrr_K,0,-0.281798503742599,0.07809478298180036,0.010177241579018807,2.46427161400377,1.1582932151965248
bomengidsnl,1,-0.2007606702448421,-0.13435721649395008,-0.2041117550566927,-0.5101744304681157,1.1582932151965248
dailyrecord.co.uk,0,-0.444562207530877,-0.1413321526561665,-0.3138695338213255,0.36466264143538013,1.1582932151965248
higurashiuminekoa,1,-0.444562207530877,-0.12861047954830276,-0.3034164120342176,-0.16023960170671733,1.1582932151965248
laur_lawr,0,-0.44309690322492784,-0.1357329477565561,0.43875523485044193,1.239499713338876,1.1582932151965248
ChrisMayLA6,0,-0.4355155560825794,-0.13951176599162576,0.8150676191863255,-0.16023960170671733,1.1582932151965248
nyt_homepage,1,-0.07563114561078019,-0.14157752625208891,-0.1988851941631388,0.36466264143538013,1.1582932151965248
Zita,0,0.19268235396747213,-0.1337219502180485,-0.1361664634404915,0.7145974701967787,1.1582932151965248
bbc_news,1,-0.36550555140514196,-0.13997482345476409,-0.24592424220512427,0.36466264143538013,1.1582932151965248
hashamatic,1,-0.41671835380105837,-0.13331917116432518,-0.3190960947148794,0.8895648845774778,1.1582932151965248
CuratedAllaertVanEverdingen,1,-0.37538763342085885,-0.12030944361920975,-0.2825101684600018,0.01472781267398182,1.1582932151965248
personfromMauke,0,0.4777654472693651,2.859657853780024,-0.2250179986309085,-0.16023960170671733,1.1582932151965248
nesbot,1,-0.4433016230368448,-0.1409862011261686,-0.3190960947148794,0.01472781267398182,1.1582932151965248
sjaakkeuvelaar,0,0.3225344089391457,-0.14067031489060233,-0.16752582880181516,0.7145974701967787,1.1582932151965248
cbcsports_mirror,1,-0.4254795663970789,-0.13662282204640472,-0.3138695338213255,-0.16023960170671733,1.1582932151965248
mithrietv,0,-0.29363586401811015,-0.0548584078931759,-0.2929632902471097,2.1143367852423722,1.1582932151965248
killbait,1,-0.444562207530877,-0.14202609985713457,-0.2406976813115703,2.6392390283844693,1.1582932151965248
iseriksonartist,0,-0.24633059217082498,0.030519515856254124,1.0711691029704686,0.5396300558160795,1.1582932151965248
bedardbrandon928,0,1.2156275711095588,-0.14016507500125147,0.025856924259680617,1.0645322989581771,1.1582932151965248
theguardian_us_opinion,1,-0.444562207530877,-0.12936188293633688,-0.28773672935355576,0.01472781267398182,1.1582932151965248
doom-disco.bsky.social,0,-0.30401704108512584,-0.12997318668076424,-0.26683048577934,0.36466264143538013,1.1582932151965248
IzaskunGraciaQuintana,0,-0.19089507058347163,-0.12508270161213525,0.09902877676943579,0.36466264143538013,1.1582932151965248
nisemikol,0,0.321338677015244,-0.14097741011654957,-0.28773672935355576,0.01472781267398182,1.1582932151965248
Bearavikas,0,4.53600712839043,2.5674748131127187,-0.22850237255994443,-0.16023960170671733,1.1582932151965248
travelitems,0,-0.444562207530877,-0.12266975475327496,-0.2145648768438006,-0.3352070160874166,1.1582932151965248
analytics,1,0.6570590474548327,-0.14189047343595088,-0.2981898511406636,2.6392390283844693,1.1582932151965248
SocraticEthics,0,-0.44446870310520786,-0.14263223866841598,-0.3086429729277715,2.6392390283844693,1.1582932151965248
heiseonline,0,-0.44395925049085977,-0.13982093246252975,0.5903255007635061,1.239499713338876,1.1582932151965248
CuratedCourbet,1,-0.4182099888222987,-0.12027791508236442,-0.3086429729277715,0.01472781267398182,1.1582932151965248
nyt_world,1,-0.16786391109080437,-0.13145991238063875,-0.20933831595024663,-0.16023960170671733,1.1582932151965248
Econopass,0,-0.385740578232682,-0.14150840842927917,-0.2929632902471097,0.5396300558160795,1.1582932151965248
news_society,1,-0.444562207530877,-0.1426708445401703,-0.3190960947148794,2.6392390283844693,1.1582932151965248
sailingnews,1,-0.40049387241637846,-0.13837451688396193,-0.3190960947148794,-0.3352070160874166,1.1582932151965248
kokurya,0,-0.2755247027965781,-0.13989562470697342,0.16174750749208303,-0.5101744304681157,1.1582932151965248
media,0,-0.444562207530877,-0.14263239841685085,-0.2825101684600018,2.6392390283844693,1.1582932151965248
MusiqueNow,0,1.6153028881896638,-0.14167688977856271,-0.3190960947148794,0.36466264143538013,1.1582932151965248
BreakingImpossible,0,0.5465383107283378,-0.12950756328501598,0.9979972504607135,-0.5101744304681157,1.1582932151965248
psychosoundtrack,0,-0.07563114561078019,0.5333783876406772,-0.1727523896953691,2.1143367852423722,1.1582932151965248
smeyer60.wordpress.com,0,-0.444562207530877,-0.05535554502241452,0.09902877676943579,2.6392390283844693,1.1582932151965248
TheCentralScrutinizer,0,-0.37160389093798263,-0.1380171063857347,-0.2145648768438006,0.8895648845774778,1.1582932151965248
