username,is_bot_declared,follow_ratio,avg_time_diff_minutes,engagement_rate,night_post_ratio,lexical_diversity,hybrid_cluster,detection_source,outlier_reason,kmeans_cluster,dbscan_cluster,iso_outlier
utunuttu,0,-0.4816080217348123,-0.1641307769998849,1.2055821185406963,-0.6495275422797733,-0.51652258663554,0,,,0.0,1.0,1.0
gamewire,1,-0.4816080217348123,-0.2218384407904629,-0.4587069715656498,-0.6495275422797733,-0.945071593101118,-1,rule,API Declared Bot,,,
theguardian_us_environment,1,-0.4816080217348123,-0.2029539551808359,-0.1317930431519031,-0.3173711624818193,-0.2043401488755392,-1,rule,API Declared Bot,,,
wddp,0,-0.4816080217348123,-0.2172686002957002,-0.4983329022824676,-0.3173711624818193,-0.3082201661422997,0,,,0.0,1.0,1.0
kradke.bsky.social,0,0.1982644658061211,-0.1886271824209512,-0.3893615928112187,0.0147852173161346,1.2654223220108305,0,,,0.0,1.0,1.0
olmlb,0,-0.4816080217348123,-0.2222856524129947,-0.4983329022824676,-0.6495275422797733,0.983693454394492,0,,,0.0,1.0,1.0
manchestereveningnews.co.uk,0,-0.4816080217348123,-0.2220591525210653,-0.3893615928112187,-0.6495275422797733,-0.5687367508559674,0,,,0.0,1.0,1.0
aliatmaca.bsky.social,0,-0.4198014319583638,-0.1924705650294796,-0.0129152510014498,-0.6495275422797733,0.3933030706986088,0,,,0.0,1.0,1.0
techcrunch,1,-0.3966239607921956,-0.2179595349411501,-0.2110449045855387,0.0147852173161346,-0.8211374217652284,-1,rule,API Declared Bot,,,
Swede1952,0,0.1516906616119701,-0.1970555903085237,4.979952019317589,-0.6495275422797733,-0.3314533199751233,-1,iso,Statistical Outlier (Isolation Forest),2.0,5.0,-1.0
VE3RWJ,0,-0.0438364687816259,-0.2190128279826375,-0.4488004888864454,3.0041926354977204,2.034671240119429,-1,consensus,Density Outlier (DBSCAN),0.0,-1.0,-1.0
Hotchka,0,0.1261567777335978,-0.0920565159954917,-0.1813254565479254,-0.3173711624818193,0.1837456650740123,0,,,0.0,1.0,1.0
rssbot,1,-0.2436526510954856,-0.2231597409333961,-0.4983329022824676,-0.6495275422797733,0.4546961531235998,-1,rule,API Declared Bot | Bot in Username,,,
RubenWA,0,0.638181957744372,-0.2089532320762841,-0.349735662094401,1.3434107365079502,-0.929048391548246,0,,,0.0,1.0,1.0
brainsmatter,0,-0.0790249173299091,-0.1697794131749421,-0.0921671124350854,3.3363490152956743,-0.4296830357235386,0,,,0.0,0.0,1.0
Pioter,0,-0.1953459217175772,-0.0780589140662756,0.0168041970361634,3.668505395093628,0.3170471600107969,-1,iso,Statistical Outlier (Isolation Forest),0.0,0.0,-1.0
kagawa,0,-0.4816080217348123,-0.1584345680030408,-0.1813254565479254,0.3469415971140884,-2.672026896006766,-1,rule,Extreme Repetitive Content,,,
Fitnessfoundry,0,-0.3459076663586986,-0.1519780753336473,0.2842792293746835,-0.6495275422797733,-0.6142525673417827,0,,,0.0,1.0,1.0
blog,1,-0.413620772980719,-0.1249394412945269,-0.4983329022824676,-0.6495275422797733,-0.2840342065540369,-1,rule,API Declared Bot,,,
divya,1,-0.4077291682056049,-0.2157275894694342,0.3040921947330923,0.0147852173161346,-0.4904660241296783,-1,rule,API Declared Bot,,,
CuratedBaroque,1,-0.4362831892320834,-0.1911072394842713,-0.4488004888864454,0.3469415971140884,-0.8831805361677585,-1,rule,API Declared Bot,,,
lobsters,1,-0.4198014319583638,-0.2186044579690109,-0.3893615928112187,0.3469415971140884,0.7975848328505051,-1,rule,API Declared Bot,,,
thejapantimes,0,-0.4813864927391978,-0.2214310569729024,0.0168041970361634,-0.6495275422797733,-0.1760136108441139,0,,,0.0,1.0,1.0
BBC,1,-0.4815311159822907,-0.2224089554812642,-0.438894006207241,-0.6495275422797733,0.5096288861768828,-1,rule,API Declared Bot,,,
gourmetkater,0,0.5608631258279523,-0.0267089362133179,0.0465236450737767,-0.6495275422797733,0.0781299424239859,0,,,0.0,1.0,1.0
popsci,1,-0.4816080217348123,-0.1976418701229395,-0.4884264196032632,-0.6495275422797733,-0.7792370053034849,-1,rule,API Declared Bot,,,
dnkrupinski,0,0.345800246731882,-0.2184814595408112,-0.4884264196032632,0.3469415971140884,1.074002765216551,0,,,0.0,1.0,1.0
petrock,1,-0.4377452806031391,-0.1530425638977015,-0.4488004888864454,1.3434107365079502,0.2414480385199829,-1,rule,API Declared Bot,,,
onion.com,0,-0.4816080217348123,0.0356483728032795,-0.4587069715656498,-0.3173711624818193,-0.93910207167117,0,,,0.0,1.0,1.0
